flag,length_class,n_vessel_years,f_transit_med,f_transit_q25,f_transit_q75
COL,Over 50m,120,0.711846937387532,0.660499275535457,0.778226034375166
COM,12-24m,16,0.551860450606603,0.404749958301557,0.66876541916888
COM,24-50m,17,0.647275819742214,0.350453577651312,0.757630370921225
COM,Over 50m,20,0.375673238065772,0.294050709258969,0.613499466370133
CPV,12-24m,8,0.825369769323118,0.744387610483066,0.83201753972954
CPV,24-50m,9,0.526107026855183,0.373360784792674,0.570575853425672
CPV,Over 50m,11,0.79984782244347,0.741325522677456,0.832453745928183
CRI,12-24m,19,0.362772283107235,0.19402761502526,0.58592205488108
CRI,24-50m,36,0.421229893758883,0.259417622917887,0.742751577613391
CUB,12-24m,12,0.364749442084022,0.0971884605146314,0.530488156987165
CUB,24-50m,6,0.454332959797583,0.263610825388982,0.597351100819536
CUB,Over 50m,1,0.41676826220756,0.41676826220756,0.41676826220756
CUW,Over 50m,37,0.725084845217374,0.673873057823229,0.785639093203105
CXR,12-24m,13,0.560934377415853,0.398175285802835,0.658597425790178
CXR,24-50m,9,0.491060016378459,0.320450365537514,0.675045758292389
CXR,6-12m,4,0.712940915550932,0.673348848976818,0.730705851329225
CYM,12-24m,1,0.93453430898971,0.93453430898971,0.93453430898971
CYM,24-50m,3,0.999115521107749,0.976722494325453,0.999497863994491
CYP,12-24m,398,0.427252276373813,0.30491789554802,0.554671781447229
CYP,24-50m,170,0.396942032439591,0.259141526068453,0.563051167068109
CYP,6-12m,3,0.708480561214648,0.610407082658168,0.831418340645761
CYP,Over 50m,21,0.348668812254753,0.298878402819867,0.39159598198078
CYP,,7,0.667048877855899,0.611905790138775,0.753759962751287
CZE,12-24m,18,0.130175003202712,0.0716018913078608,0.32172580973836
CZE,24-50m,13,0.341683361386746,0.253930413376214,0.401813163011439
DEU,12-24m,1224,0.330024377316737,0.218044873953479,0.5125811850101
DEU,24-50m,426,0.381095467352623,0.265353844653831,0.54135451669802
DEU,6-12m,1,0.697400337481544,0.697400337481544,0.697400337481544
