"rgn_typ","ant_typ","rgn_id","ant_id","rgn_nam","rgn_key","are_km2"
"land","land","85","85","Ascension","ASC",101.510253237
"eez","eez","86","86","Saint Helena","SHN",447451.222696
"land","land","86","86","Saint Helena","SHN",129.445271425
"eez","eez","88","88","Tristan da Cunha","TAA",755781.901791
"land","land","88","88","Tristan da Cunha","TAA",203.387829493
"eez","eez","89","89","South Georgia and the South Sandwich Islands","SGS",1445884.27755
"land","land","89","89","South Georgia and the South Sandwich Islands","SGS",3971.69118284
"eez","eez","9","9","Micronesia","FSM",3011912.45243
"land","land","9","9","Micronesia","FSM",817.156997994
"eez","eez","90","90","Prince Edward Islands","ZAF",473182.389014
"land","land","90","90","Prince Edward Islands","ZAF",341.024441651
"eez","eez","91","91","Crozet Islands","ATF",574392.106966
"land","land","91","91","Crozet Islands","ATF",364.506619107
"eez","eez","92","92","Amsterdam Island and Saint Paul Island","ATF",509821.937106
"land","land","92","92","Amsterdam Island and Saint Paul Island","ATF",73.0498456357
"eez","eez","93","93","Kerguelen Islands","ATF",567172.356583
"land","land","93","93","Kerguelen Islands","ATF",7384.64972589
"eez","eez","94","94","Heard and McDonald Islands","HMD",416111.00936
"land","land","94","94","Heard and McDonald Islands","HMD",391.198297272
"eez","eez","95","95","Falkland Islands","FLK",549091.665029
"land","land","95","95","Falkland Islands","FLK",12400.948364
"eez","eez","96","96","Sierra Leone","SLE",160452.573952
"land","land","96","96","Sierra Leone","SLE",72895.1571224
"eez","eez","97","97","Liberia","LBR",247767.678994
"land","land","97","97","Liberia","LBR",96681.5326864
"eez","eez","98","98","Togo","TGO",15521.3101546
"land","land","98","98","Togo","TGO",57439.8617123
"eez","eez","99","99","Benin","BEN",30419.2686251
"land","land","99","99","Benin","BEN",116731.926383
