"rgn_typ","ant_typ","rgn_id","ant_id","rgn_nam","rgn_key","are_km2"
"eez-disputed","eez-disputed","255","255","DISPUTED","XD",4339.61937927
"fao","fao","260","260","Arctic Sea","XARC",2568205.72784
"fao","fao","261","261","Atlantic, Northwest","XANW",2638723.40511
"fao","fao","262","262","Atlantic, Northeast","XANE",5341604.73328
"fao","fao","263","263","Atlantic, Western-Central","XAWC",7368561.28442
"fao","fao","264","264","Atlantic, Eastern Central","XAEC",9118873.63673
"fao","fao","266","266","Atlantic, Southwest","XASW",12368116.8222
"fao","fao","267","267","Atlantic, Southeast","XASE",15005001.9891
"fao","fao","269","269","Indian Ocean, Western","XIWE",17098250.3605
"eez-disputed","eez-disputed","255","255","DISPUTED","XD",214369.606144
"land-disputed","land-disputed","255","255","DISPUTED","XD",5112.76395993
"fao","fao","270","270","Indian Ocean, Eastern","XIEA",22238161.1785
"fao","fao","272","272","Pacific, Northwest","XPNW",10326570.2553
"fao","fao","273","273","Pacific, Northeast","XPNE",4584145.68106
"fao","fao","274","274","Pacific, Western Central","XPWC",6383058.09924
"fao","fao","275","275","Pacific, Eastern Central","XPEC",30604794.7883
"fao","fao","276","276","Pacific, Southwest","XPSW",20321433.8049
"fao","fao","277","277","Pacific, Southeast","XPSE",24810649.0633
"eez","eez","28","28","Comoro Islands","COM",165505.199256
"land","land","28","28","Comoro Islands","COM",1701.12071591
"eez","eez-ccamlr","213","288100","Antarctica","ATA",3017139.28586
"land","land-ccamlr","213","288100","Antarctica","ATA",2887378.40109
"eez","eez-ccamlr","213","288200","Antarctica","ATA",4993546.9203
"land","land-ccamlr","213","288200","Antarctica","ATA",1172190.76085
"eez","eez-ccamlr","213","288300","Antarctica","ATA",2247800.89249
"land","land-ccamlr","213","288300","Antarctica","ATA",365739.969127
"eez","eez","29","29","Mayotte","MYT",63362.3090544
"land","land","29","29","Mayotte","MYT",396.37661251
"eez","eez","3","3","Norfolk Island","NFK",432638.145983
"land","land","3","3","Norfolk Island","NFK",42.7783752365
"eez","eez","30","30","Glorioso Islands","ATF",43699.3838589
"land","land","30","30","Glorioso Islands","ATF",3.95787360669
"land-noeez","land-noeez","301","301","Afghanistan","AFG",643557.160591
"land-noeez","land-noeez","302","302","Andorra","AND",507.451025982
"land-noeez","land-noeez","303","303","Armenia","ARM",29702.5844843
"land-noeez","land-noeez","304","304","Austria","AUT",83896.1882309
"land-noeez","land-noeez","305","305","Belarus","BLR",207316.012611
"land-noeez","land-noeez","306","306","Bhutan","BTN",39991.3507149
"land-noeez","land-noeez","307","307","Bolivia","BOL",1092696.84396
"land-noeez","land-noeez","308","308","Botswana","BWA",581126.655303
"land-noeez","land-noeez","309","309","Burkina Faso","BFA",274009.269507
"eez","eez","31","31","Seychelles","SYC",1340839.38271
"land","land","31","31","Seychelles","SYC",486.864831694
"land-noeez","land-noeez","310","310","Burundi","BDI",27367.7756248
"land-noeez","land-noeez","311","311","Central African Republic","CAF",622696.497479
"land-noeez","land-noeez","312","312","Chad","TCD",1279123.79145
"land-noeez","land-noeez","313","313","Czech Republic","CZE",78668.417529
"land-noeez","land-noeez","314","314","Ethiopia","ETH",1134773.92559
"land-noeez","land-noeez","315","315","Hungary","HUN",92949.1241873
"land-noeez","land-noeez","316","316","Kyrgyzstan","KGZ",199732.553553
"land-noeez","land-noeez","317","317","Laos","LAO",231120.503601
"land-noeez","land-noeez","318","318","Liechtenstein","LIE",176.309740065
"land-noeez","land-noeez","319","319","Luxembourg","LUX",2577.81405287
"eez","eez","32","32","Reunion","REU",316498.901323
"land","land","32","32","Reunion","REU",2536.30397731
"land-noeez","land-noeez","320","320","Macedonia","MKD",25483.1963472
"land-noeez","land-noeez","321","321","Malawi","MWI",119199.194042
"land-noeez","land-noeez","322","322","Mali","MLI",1259194.41213
"land-noeez","land-noeez","323","323","Moldova","MDA",33670.8427224
"land-noeez","land-noeez","324","324","Mongolia","MNG",1562323.04271
"land-noeez","land-noeez","325","325","Nepal","NPL",147710.165268
"land-noeez","land-noeez","326","326","Niger","NER",1188521.76296
"land-noeez","land-noeez","327","327","Paraguay","PRY",400653.629009
"land-noeez","land-noeez","328","328","Rwanda","RWA",25305.6403569
"land-noeez","land-noeez","329","329","San Marino","SMR",59.8810518779
"eez","eez","33","33","Juan de Nova Island","ATF",62551.237745
"land","land","33","33","Juan de Nova Island","ATF",6.18043100519
"land-noeez","land-noeez","330","330","Serbia","SRB",88157.2510306
"land-noeez","land-noeez","331","331","Slovakia","SVK",48884.7171228
"land-noeez","land-noeez","332","332","Switzerland","CHE",41472.2432916
