"pixel_id","eez_id"
10061,17
10062,17
10063,17
10064,17
10065,17
10066,17
10073,17
10074,17
10075,17
10076,17
10077,17
10078,17
10079,17
10080,17
10081,17
10082,17
10083,17
10151,2147
10152,2147
10153,2147
10154,2147
10155,2147
10156,2147
10157,2147
10158,2147
10159,2147
10170,2227
10171,2227
10172,2227
10173,2227
10174,2227
10175,2227
10176,2227
10177,2227
10178,2227
10179,2227
10180,2227
10181,2227
10182,2227
10183,2227
10184,2227
10185,2227
10186,2227
10187,2227
10188,2227
10189,2227
10190,2227
10191,2227
10192,2227
10193,2227
10194,2227
10195,2227
10196,2227
10197,2227
10288,2165
10289,2165
10290,2165
10291,2165
10292,2165
10293,2165
10294,2165
10295,2165
10296,2165
10297,2149
10298,2149
10299,2149
10300,2149
10301,2149
10302,2149
10303,2149
10304,2149
10397,2176
10398,2176
10399,2176
10400,2176
10401,2176
10402,2176
10403,2176
10404,2176
10405,2176
10406,2176
10407,2176
10410,17
10411,17
10412,17
10413,17
10414,17
10415,17
10416,17
10417,17
10418,17
10419,17
10420,17
10421,17
10422,17
10430,17
10431,17
10432,17
10433,17
10434,17
10435,17
10436,17
10437,17
10506,2147
10507,2147
10508,2147
10509,2147
10510,2147
10511,2147
10512,2147
10513,2147
10514,2147
10515,2147
10516,2147
10526,2227
10527,2227
10528,2227
10529,2227
10530,2227
10531,2227
10532,2227
10533,2227
10534,2227
10535,2227
10536,2227
10537,2227
10538,2227
10539,2227
10540,2227
10541,2227
10542,2227
10543,2227
10544,2227
10545,2227
10546,2227
10547,2227
10548,2227
10549,2227
10550,2227
10551,2227
10643,2165
10644,2165
10645,2165
10646,2165
10647,2165
10648,2165
10649,2165
10650,2165
10651,2149
10652,2149
10653,2149
10654,2149
10655,2149
10656,2149
10657,2149
10658,2149
10751,2176
10752,2176
10753,2176
10754,2176
10755,2176
10756,2176
10757,2176
10758,2176
10759,2176
10760,2176
10763,17
10764,17
10765,17
10766,17
10767,17
10768,17
10769,17
10770,17
10771,17
10772,17
10773,17
10774,17
10859,2147
10860,2147
10861,2147
10862,2147
10863,2147
10864,2147
10865,2147
10866,2147
10867,2147
10868,2147
10869,2147
10870,2147
10879,2227
10880,2227
10881,2227
10882,2227
10883,2227
10884,2227
10885,2227
10886,2227
10888,2227
10889,2227
10890,2227
10891,2227
10892,2227
10893,2227
10894,2227
10895,2227
10896,2227
10897,2227
10898,2227
10899,2227
10900,2227
10901,2227
10902,2227
10903,2227
10904,2227
10905,2227
10997,2165
10998,2165
10999,2165
11000,2165
11001,2165
11002,2165
11003,2165
11004,2165
11005,2149
11006,2149
11007,2149
11008,2149
11009,2149
11010,2149
11011,2149
11012,2149
11058,2208
11059,2208
11060,2208
11061,2208
11062,2208
11063,2208
11105,2176
11106,2176
11107,2176
11108,2176
11109,2176
11110,2176
11111,2176
11117,17
11118,17
11119,17
11120,17
11121,17
11122,17
11123,17
11124,17
11125,17
11126,17
11211,2147
11212,2147
11213,2147
11214,2147
11215,2147
11216,2147
11217,2147
11218,2147
11219,2147
11220,2147
11221,2147
11222,2147
11223,2147
11233,2227
11234,2227
11235,2227
11236,2227
11237,2227
11238,2227
11239,2227
11240,2227
11241,2227
11242,2227
11243,2227
11244,2227
11245,2227
11246,2227
11247,2227
11248,2227
11249,2227
11250,2227
11251,2227
11252,2227
11253,2227
11254,2227
11255,2227
11256,2227
11257,2227
11258,2227
11259,2227
11351,2165
11352,2165
11353,2165
11354,2165
11355,2165
11356,2165
11357,2165
11358,2165
11359,2149
11360,2149
11361,2149
11362,2149
11363,2149
11364,2149
11365,2149
11366,2149
11411,2208
11412,2208
11413,2208
11414,2208
11415,2208
11416,2208
11417,2208
11418,2208
11473,17
11474,17
11475,17
11476,17
11477,17
11501,17
11502,17
11503,17
11565,2147
11566,2147
11567,2147
11568,2147
11569,2147
11570,2147
11571,2147
11572,2147
11573,2147
11574,2147
11575,2147
11576,2147
11587,2227
11588,2227
11589,2227
11590,2227
11591,2227
11592,2227
11593,2227
11594,2227
11595,2227
11596,2227
11597,2227
11598,2227
11599,2227
11600,2227
11601,2227
11602,2227
11603,2227
11604,2227
11605,2227
11606,2227
11607,2227
11608,2227
11609,2227
11610,2227
11704,2165
11705,2165
11706,2165
11707,2165
11708,2165
11709,2165
11710,2165
11711,2149
11712,2149
11713,2149
11714,2149
11715,2149
11716,2149
11717,2149
11718,2149
11719,2149
11720,2149
11721,2149
11762,2208
11763,2208
11764,2208
11765,2208
11766,2208
11767,2208
11768,2208
11769,2208
11770,2208
11771,2208
11851,17
11852,17
11853,17
11854,17
11855,17
11856,17
11857,17
11915,2147
11916,2147
11917,2147
11918,2147
11919,2147
11920,2147
11921,2147
11922,2147
11923,2147
11924,2147
11925,2147
11926,2147
11927,2147
11928,2147
11929,2147
11941,2227
11942,2227
11943,2227
11944,2227
11945,2227
11946,2227
11947,2227
11948,2227
11949,2227
11950,2227
11951,2227
11952,2227
11953,2227
11954,2227
11955,2227
11956,2227
11957,2227
11958,2227
11959,2227
11960,2227
11961,2227
11962,2227
11963,2227
12058,2165
12059,2165
12060,2165
12061,2165
12062,2165
12063,2165
12064,2149
12065,2149
12066,2149
12067,2149
12068,2149
12069,2149
12070,2149
12071,2149
12072,2149
12073,2149
12074,2149
12113,2208
12114,2208
12115,2208
12116,2208
12117,2208
12118,2208
12119,2208
12120,2208
12121,2208
12122,2208
12123,2208
12202,17
12203,17
12204,17
12205,17
12206,17
12207,17
12208,17
12209,17
12210,17
12266,2147
12267,2147
12268,2147
12269,2147
12270,2147
12271,2147
12272,2147
12273,2147
12274,2147
12275,2147
12276,2147
12277,2147
12278,2147
12279,2147
12280,2147
12281,2147
12295,2227
12296,2227
12297,2227
12298,2227
12299,2227
12300,2227
12301,2227
12302,2227
12303,2227
12304,2227
12305,2227
12306,2227
12307,2227
12308,2227
12309,2227
12310,2227
12311,2227
12410,2165
12411,2165
12412,2165
12413,2165
12414,2165
12415,2165
12416,2149
12417,2149
12418,2149
12419,2149
12420,2149
12421,2149
12422,2149
12423,2149
12424,2149
12425,2149
12462,2208
12463,2208
12464,2208
12465,2208
12466,2208
12467,2208
12468,2208
12469,2208
12470,2208
12471,2208
12472,2208
12473,2208
12552,17
12553,17
12554,17
12555,17
12556,17
12557,17
12558,17
12559,17
12560,17
12613,2147
12614,2147
12615,2147
12616,2147
12617,2147
12618,2147
12619,2147
12620,2147
12621,2147
12622,2147
12623,2147
12624,2147
12625,2147
12626,2147
12627,2147
12628,2147
12629,2147
12630,2147
12631,2147
12632,2147
12646,2227
12647,2227
12648,2227
12649,2227
12650,2227
12651,2227
12652,2227
12653,2227
12654,2227
12655,2227
12656,2227
12657,2227
12658,2227
12659,2227
12660,2227
12661,2227
12760,2165
12761,2165
12762,2165
12763,2165
12764,2165
12765,2165
12766,2149
12767,2149
12768,2149
12769,2149
12770,2149
12771,2149
12772,2149
12773,2149
12774,2149
12775,2149
12776,2149
12812,2208
12813,2208
12814,2208
12815,2208
12816,2208
12817,2208
12818,2208
12819,2208
12820,2208
12821,2208
12822,2208
12823,2208
12847,2176
12848,2176
12849,2176
12850,2176
12902,17
12903,17
12904,17
12905,17
12906,17
12907,17
12908,17
12909,17
12910,17
12943,2147
12944,2147
12945,2147
12946,2147
12947,2147
12948,2147
12949,2147
12962,2147
12963,2147
12964,2147
12965,2147
12966,2147
12967,2147
12968,2147
12969,2147
12970,2147
12971,2147
12972,2147
12973,2147
12974,2147
12975,2147
12976,2147
12977,2147
12978,2147
12979,2147
12980,2147
12981,2147
12982,2147
12983,2147
12997,2227
12998,2227
12999,2227
13000,2227
13001,2227
13002,2227
13003,2227
13004,2227
13005,2227
13006,2227
13007,2227
13008,2227
13009,2227
13104,2165
13105,2165
13106,2165
13107,2165
13108,2165
13109,2165
13110,2165
13111,2165
13112,2165
13113,2165
13114,2149
13115,2149
13116,2149
13117,2149
13118,2149
13119,2216
13120,2216
13155,2208
13156,2208
13157,2208
13158,2208
13159,2208
13160,2208
13161,2208
13162,2208
13163,2208
13164,2208
13165,2208
13187,2176
13188,2176
13189,2176
13190,2176
13191,2176
13192,2176
13193,2176
13194,2176
13195,2176
13196,2176
13197,2176
13198,2176
13199,2176
13245,17
13246,17
13247,17
13248,17
13249,17
13250,17
13251,17
13252,17
13253,17
13284,2147
13285,2147
13286,2147
13287,2147
13288,2147
13289,2147
13290,2147
13291,2147
13292,2147
13293,2147
13294,2147
13295,2147
13296,2147
13297,2147
13298,2147
13303,2147
13304,2147
13305,2147
13306,2147
13307,2147
13308,2147
13309,2147
13310,2147
13311,2147
13312,2147
13313,2147
13314,2147
13315,2147
13316,2147
13317,2147
13318,2147
13319,2147
13320,2147
13321,2147
13322,2147
13337,2227
13338,2227
13339,2227
13340,2227
13341,2227
13342,2227
13343,2227
13344,2227
13345,2227
13346,2227
13347,2227
13348,2227
