"MRGID","MRGID_SOV1","TERRITORY1","ISO_TER1","SOVEREIGN1","ISO_SOV1","GEONAME"
48944,17,"Mayotte","MYT","France","FRA","Overlapping claim Mayotte: France / Comores"
48946,17,"Ile Tromelin",NA,"France","FRA","Overlapping claim Ile Tromelin: France / Madagascar / Republic of Mauritius"
8388,2147,"Heard and McDonald Islands","HMD","Australia","AUS","Australian Exclusive Economic Zone (Heard and McDonald Islands)"
8387,17,"Kerguélen","ATF","France","FRA","French Exclusive Economic Zone (Kerguélen)"
8348,7963,"Madagascar","MDG","Madagascar","MDG","Madagascan Exclusive Economic Zone"
8396,2176,"South Africa","ZAF","South Africa","ZAF","South African Exclusive Economic Zone"
8312,17,"New Caledonia","NCL","France","FRA","French Exclusive Economic Zone (New Caledonia)"
8310,2147,"Norfolk Island","NFK","Australia","AUS","Australian Exclusive Economic Zone (Norfolk Island)"
8343,8614,"Republic of Mauritius","MUS","Republic of Mauritius","MUS","Mauritian Exclusive Economic Zone"
8338,17,"Réunion","REU","France","FRA","French Exclusive Economic Zone (Réunion)"
8313,2202,"Vanuatu","VUT","Vanuatu","VUT","Vanuatuan Exclusive Economic Zone"
8395,2218,"Namibia","NAM","Namibia","NAM","Namibian Exclusive Economic Zone"
21791,8757,"Oecusse",NA,"East Timor","TLS","Timorese Exclusive Economic Zone (Oecusse)"
8394,8633,"Republic of the Congo","COG","Republic of the Congo","COG","Congolese (Republic of) Exclusive Economic Zone"
8478,2150,"Angola","AGO","Angola","AGO","Angolan Exclusive Economic Zone"
8347,2220,"Mozambique","MOZ","Mozambique","MOZ","Mozambican Exclusive Economic Zone"
8349,2118,"Kenya","KEN","Kenya","KEN","Kenyan Exclusive Economic Zone"
21798,2237,"Papua New Guinea","PNG","Papua New Guinea","PNG","Joint regime area Torres Strait Treaty: Papua New Guinea / Australia"
8384,2176,"Prince Edward Islands",NA,"South Africa","ZAF","South African Exclusive Economic Zone (Prince Edward Islands)"
8479,2205,"Tanzania","TZA","Tanzania","TZA","Tanzanian Exclusive Economic Zone"
8314,8593,"Solomon Islands","SLB","Solomon Islands","SLB","Solomon Islands Exclusive Economic Zone"
8337,2192,"Seychelles","SYC","Seychelles","SYC","Seychellois Exclusive Economic Zone"
48945,7963,"Glorioso Islands",NA,"Madagascar","MDG","Overlapping claim Glorioso Islands: France / Madagascar"
8341,17,"Europa Island","ATF","France","FRA","French Exclusive Economic Zone (Europa Island)"
48948,17,"Matthew and Hunter Islands",NA,"France","FRA","Overlapping claim Matthew and Hunter Islands: France / Vanuatu"
8477,2198,"Democratic Republic of the Congo","COD","Democratic Republic of the Congo","COD","Congolese (Democratic Republic of) Exclusive Economic Zone"
8323,2147,"Australia","AUS","Australia","AUS","Australian Exclusive Economic Zone"
8311,2147,"Macquarie Island",NA,"Australia","AUS","Australian Exclusive Economic Zone (Macquarie Island)"
8339,17,"Juan de Nova Island","ATF","France","FRA","French Exclusive Economic Zone (Juan de Nova Island)"
8340,17,"Bassas da India","ATF","France","FRA","French Exclusive Economic Zone (Bassas da India)"
8758,8757,"East Timor","TLS","East Timor","TLS","Timorese Exclusive Economic Zone"
8412,2208,"Anguilla","AIA","United Kingdom","GBR","British Exclusive Economic Zone (Anguilla)"
8414,8645,"Antigua and Barbuda","ATG","Antigua and Barbuda","ATG","Antiguan and Barbudan Exclusive Economic Zone"
26519,15,"Aruba","ABW","Netherlands","NLD","Dutch Exclusive Economic Zone (Aruba)"
8361,2243,"Azores",NA,"Portugal","PRT","Portuguese Exclusive Economic Zone (Azores)"
8404,2144,"Bahamas","BHS","Bahamas","BHS","Bahamian Exclusive Economic Zone"
8418,8649,"Barbados","BRB","Barbados","BRB","Barbadian Exclusive Economic Zone"
8429,2224,"Mexico","MEX","Mexico","MEX","Mexican Exclusive Economic Zone"
26520,15,"Bonaire","BES","Netherlands","NLD","Dutch Exclusive Economic Zone (Bonaire)"
8411,2208,"British Virgin Islands","VGB","United Kingdom","GBR","British Exclusive Economic Zone (British Virgin Islands)"
8362,2168,"Cape Verde","CPV","Cape Verde","CPV","Cape Verdean Exclusive Economic Zone"
8364,2185,"Canary Islands",NA,"Spain","ESP","Spanish Exclusive Economic Zone (Canary Islands)"
8407,2208,"Cayman Islands","CYM","United Kingdom","GBR","British Exclusive Economic Zone (Cayman Islands)"
8401,17,"Clipperton Island",NA,"France","FRA","French Exclusive Economic Zone (Clipperton Island)"
8423,2249,"Panama","PAN","Panama","PAN","Panamanian Exclusive Economic Zone"
8424,2162,"Costa Rica","CRI","Costa Rica","CRI","Costa Rican Exclusive Economic Zone"
26517,15,"Curaçao","CUW","Netherlands","NLD","Dutch Exclusive Economic Zone (Curaçao)"
8417,8648,"Dominica","DMA","Dominica","DMA","Dominican Exclusive Economic Zone"
8409,8640,"Dominican Republic","DOM","Dominican Republic","DOM","Dominican (Republic) Exclusive Economic Zone"
8430,2097,"Guatemala","GTM","Guatemala","GTM","Guatemalan Exclusive Economic Zone"
8435,2157,"Faeroe","FRO","Denmark","DNK","Danish Exclusive Economic Zone (Faeroe)"
8370,2113,"Gambia","GMB","Gambia","GMB","Gambian Exclusive Economic Zone"
8365,2208,"Gibraltar","GIB","United Kingdom","GIB","Overlapping claim Gibraltar: United Kingdom / Spain"
8419,8650,"Grenada","GRD","Grenada","GRD","Grenadian Exclusive Economic Zone"
33177,17,"Guadeloupe","GLP","France","FRA","French Exclusive Economic Zone (Guadeloupe)"
8390,2191,"Sierra Leone","SLE","Sierra Leone","SLE","Sierra Leonean Exclusive Economic Zone"
5680,2129,"Iceland","ISL","Iceland","ISL","Icelandic Exclusive Economic Zone"
8459,8682,"Jamaica","JAM","Jamaica","JAM","Jamaican Exclusive Economic Zone"
8363,2243,"Madeira",NA,"Portugal","PRT","Portuguese Exclusive Economic Zone (Madeira)"
8369,2236,"Mauritania","MRT","Mauritania","MRT","Mauritanian Exclusive Economic Zone"
8415,2208,"Montserrat","MSR","United Kingdom","GBR","British Exclusive Economic Zone (Montserrat)"
48951,8639,"Navassa Island",NA,"Haiti","HTI","Overlapping claim Navassa Island: United States / Haiti / Jamaica"
8443,2204,"Palmyra Atoll","UMI","United States","USA","United States Exclusive Economic Zone (Palmyra Atoll)"
33179,2204,"Puerto Rico","PRI","United States","USA","United States Exclusive Economic Zone (Puerto Rico)"
26518,15,"Saba","BES","Netherlands","NLD","Dutch Exclusive Economic Zone (Saba)"
48952,17,"Saint-Barthélemy","BLM","France","FRA","French Exclusive Economic Zone (Saint-Barthélemy)"
26526,15,"Sint-Eustatius","BES","Netherlands","NLD","Dutch Exclusive Economic Zone (Sint-Eustatius)"
8413,8644,"Saint Kitts and Nevis","KNA","Saint Kitts and Nevis","KNA","Kittitian and Nevisian Exclusive Economic Zone"
8416,8647,"Saint Lucia","LCA","Saint Lucia","LCA","Saint Lucian Exclusive Economic Zone"
8495,17,"Collectivity of Saint Martin","MAF","France","FRA","French Exclusive Economic Zone (Collectivity of Saint Martin)"
8494,17,"Saint-Pierre and Miquelon","SPM","France","FRA","French Exclusive Economic Zone (Saint-Pierre and Miquelon)"
8421,8651,"Saint Vincent and the Grenadines","VCT","Saint Vincent and the Grenadines","VCT","Saint Vincentian Exclusive Economic Zone"
21803,15,"Sint-Maarten","SXM","Netherlands","NLD","Dutch Exclusive Economic Zone (Sint-Maarten)"
8420,2186,"Trinidad and Tobago","TTO","Trinidad and Tobago","TTO","Trinidadian and Tobagonian Exclusive Economic Zone"
8405,2208,"Turks and Caicos Islands","TCA","United Kingdom","GBR","British Exclusive Economic Zone (Turks and Caicos Islands)"
33180,2204,"United States Virgin Islands","VIR","United States","USA","United States Exclusive Economic Zone (United States Virgin Islands)"
5688,2243,"Portugal","PRT","Portugal","PRT","Portuguese Exclusive Economic Zone"
8428,2135,"El Salvador","SLV","El Salvador","SLV","Salvadoran Exclusive Economic Zone"
8457,8681,"Belize","BLZ","Belize","BLZ","Belizean Exclusive Economic Zone"
8406,8637,"Cuba","CUB","Cuba","CUB","Cuban Exclusive Economic Zone"
8408,8639,"Haiti","HTI","Haiti","HTI","Haitian Exclusive Economic Zone"
33178,17,"Martinique","MTQ","France","FRA","French Exclusive Economic Zone (Martinique)"
48964,2225,"Senegal","SEN","Senegal","SEN","Joint regime area: Senegal / Guinea-Bissau"
48965,2201,"Venezuela","VEN","Venezuela","VEN","Overlapping claim: Venezuela / Netherlands (Aruba) / Dominican Republic"
48966,17,"France","FRA","France","FRA","Joint regime area: Spain / France"
48967,2208,"United Kingdom","GBR","United Kingdom","GBR","Joint regime area: United Kingdom / Denmark (Faeroe Islands)"
48943,2169,"Canada","CAN","Canada","CAN","Overlapping claim: Canada / United States"
48968,2162,"Costa Rica","CRI","Costa Rica","CRI","Joint regime area: Costa Rica / Ecuador (Galapagos)"
8425,2255,"Nicaragua","NIC","Nicaragua","NIC","Nicaraguan Exclusive Economic Zone"
8460,2124,"Guyana","GUY","Guyana","GUY","Guyanese Exclusive Economic Zone"
48969,8649,"Barbados","BRB","Barbados","BRB","Joint regime area: Barbados / Guyana"
48970,8640,"Dominican Republic","DOM","Dominican Republic","DOM","Joint regime area: Dominican Republic / Colombia"
48971,2175,"Colombia","COL","Colombia","COL","Overlapping claim: Colombia / Dominican Republic / Venezuela"
5681,2114,"Ireland","IRL","Ireland","IRL","Irish Exclusive Economic Zone"
21788,2208,"Guernsey","GGY","United Kingdom","GBR","British Exclusive Economic Zone (Guernsey)"
21789,2208,"Jersey","JEY","United Kingdom","GBR","British Exclusive Economic Zone (Jersey)"
8371,2225,"Senegal","SEN","Senegal","SEN","Senegalese Exclusive Economic Zone"
8471,8685,"Guinea-Bissau","GNB","Guinea-Bissau","GNB","Bissau-Guinean Exclusive Economic Zone"
8472,2122,"Guinea","GIN","Guinea","GIN","Guinean Exclusive Economic Zone"
8473,2161,"Ivory Coast","CIV","Ivory Coast","CIV","Ivorian Exclusive Economic Zone"
33185,2124,"Guyana","GUY","Guyana","GUY","Overlapping claim: Guyana / Trinidad and Tobago / Venezuela"
8391,2105,"Liberia","LBR","Liberia","LBR","Liberian Exclusive Economic Zone"
21792,8682,"Jamaica","JAM","Jamaica","JAM","Joint regime area: Jamaica / Colombia"
48972,2103,"Honduras","HND","Honduras","HND","Joint regime area: Honduras / United Kingdom (Cayman Islands)"
48973,2157,"Faeroe","FRO","Denmark","DNK","Joint regime area: Iceland / Denmark (Faeroe Islands)"
8433,2201,"Venezuela","VEN","Venezuela","VEN","Venezuelan Exclusive Economic Zone"
8427,2103,"Honduras","HND","Honduras","HND","Honduran Exclusive Economic Zone"
48974,2166,"Ecuador","ECU","Ecuador","ECU","Joint regime area: Ecuador / Colombia"
48975,2129,"Iceland","ISL","Iceland","ISL","Joint regime area: Iceland / Norway (Jan Mayen)"
8493,2169,"Canada","CAN","Canada","CAN","Canadian Exclusive Economic Zone"
8368,8617,"Western Sahara","ESH","Western Sahara","ESH","Overlapping claim Western Sahara: Western Sahara / Morocco"
8461,2182,"Suriname","SUR","Suriname","SUR","Surinamese Exclusive Economic Zone"
8462,17,"French Guiana","GUF","France","FRA","French Exclusive Economic Zone (French Guiana)"
48982,2204,"Puerto Rico","PRI","United States","USA","Overlapping claim: United States (Puerto Rico) / Dominican Republic"
8452,2204,"Johnston Atoll","UMI","United States","USA","United States Exclusive Economic Zone (Johnston Atoll)"
8426,2175,"Colombia","COL","Colombia","COL","Colombian Exclusive Economic Zone"
62596,2175,"Serrana Bank",NA,"Colombia","COL","Colombian Exclusive Economic Zone (Serrana Bank)"
62598,2175,"Quitasueño Bank",NA,"Colombia","COL","Colombian Exclusive Economic Zone (Quitasueño Bank)"
48984,2175,"Serranilla Bank",NA,"Colombia","COL","Colombian Exclusive Economic Zone (Serranilla Bank)"
48985,2175,"Bajo Nuevo Bank",NA,"Colombia","COL","Colombian Exclusive Economic Zone (Bajo Nuevo Bank)"
8367,2221,"Morocco","MAR","Morocco","MAR","Moroccan Exclusive Economic Zone"
49000,2185,"Melilla",NA,"Spain","ESP","Overlapping claim Melilla: Spain / Morocco"
49001,2185,"Alhucemas Islands",NA,"Spain","ESP","Overlapping claim Alhucemas Islands: Spain / Morocco"
48998,2185,"Perejil Island",NA,"Spain","ESP","Overlapping claim Perejil Island: Spain / Morocco"
49002,2185,"Ceuta",NA,"Spain","ESP","Overlapping claim Ceuta: Spain / Morocco"
48999,2185,"Peñón de Vélez de la Gomera",NA,"Spain","ESP","Overlapping claim Peñón de Vélez de la Gomera: Spain / Morocco"
48997,2185,"Chafarinas Islands",NA,"Spain","ESP","Overlapping claim Chafarinas Islands: Spain / Morocco"
8360,2206,"United Arab Emirates","ARE","United Arab Emirates","ARE","Emirati Exclusive Economic Zone"
8376,2159,"Cyprus","CYP","Cyprus","CYP","Cypriote Exclusive Economic Zone"
48947,2206,"Abu musa, Greater and Lesser Tunb",NA,"United Arab Emirates","ARE","Overlapping claim Abu musa, Greater and Lesser Tunb: United Arab Emirates / Iran"
