"nearest_seamount_id","nearest_seamount_distance_m","pixel_id"
1116463,1540625.0273847,72
1116463,1555584.0575744,73
1116463,1570787.39845593,74
1116463,1586228.02519346,75
1116463,1601899.07624144,76
1127503,836289.209172365,77
1127503,837994.92315665,78
1127503,840569.68806307,79
1127503,844005.55042044,80
1127503,848292.047107907,81
1127503,853416.360651981,82
1127503,859363.503685354,83
5512085,865891.343263356,84
5512085,871814.448265992,85
5512085,878532.358805412,86
5512085,886026.996274382,87
5511664,893801.190822419,88
5511664,901761.15713087,89
5511664,910456.951041828,90
5511664,919867.704774279,91
5511664,929971.71369293,92
5511664,940746.640518673,93
5511664,952169.708834153,94
5511664,964217.883360087,95
5511664,976868.035180514,96
5511664,990097.09075394,97
5511664,1003882.16413946,98
5511664,1018200.67237809,99
5511664,1033030.43439242,100
5511664,1048349.75410249,101
5511664,1064137.4887055,102
5511664,1080373.10324076,103
5481449,1377497.29288581,104
5481449,1385151.25983491,105
5481449,1393289.37867648,106
5481449,1401903.21785745,107
5481449,1410984.06480775,108
5481449,1420522.96336233,109
5481449,1430510.75044332,110
5508165,1436510.64318107,111
5508165,1415906.24847138,112
5508165,1395522.92720114,113
5508165,1375370.50848989,114
5508165,1355459.29127339,115
5508165,1335800.06152528,116
5508165,1316404.10886569,117
5508165,1297283.24228054,118
5508165,1278449.80463111,119
5508165,1223805.75914448,120
5508165,1206256.55063853,121
5508165,1189064.86584942,122
5508165,1172246.43477067,123
5508165,1155817.55128721,124
1116463,1524028.18790611,125
1116463,1541474.39786376,126
1116463,1559195.55553576,127
1116463,1577182.39304508,128
1116463,1595425.92459077,129
1116463,1613917.44527939,130
1116463,1632648.52889222,131
1116463,1651611.02472909,132
1116463,1670797.05365892,133
1116463,1690199.00349632,134
1116463,1709809.52381266,135
5449709,1727579.63896578,136
5449709,1727774.88806312,137
5449709,1728394.27737709,138
5449709,1729437.35119668,139
5449709,1730903.34356209,140
5449709,1732791.18106903,141
5449709,1735099.48677957,142
5449709,1737826.58520659,143
1143146,824972.318433302,144
1127503,848211.52861743,145
1127503,836650.356271622,146
1127503,825973.239758776,147
1127503,816214.87350087,148
1127503,807408.570321582,149
1127503,799585.78771242,150
1127503,792775.641132414,151
1127503,787004.418801054,152
1127503,782295.114410233,153
1127503,778666.995336336,154
1127503,776135.224043059,155
1127503,774710.549271718,156
1127503,774399.081277644,157
1127503,775202.16188598,158
1127503,777116.335743878,159
1127503,780133.424194567,160
1127503,784240.69812103,161
1127503,789421.141350692,162
1127503,795653.792180849,163
5512085,802809.74889677,164
5512085,809178.493167902,165
5512085,816555.648725495,166
5512085,824914.161536713,167
5511664,833260.262229902,168
5511664,842302.49519922,169
5511664,852262.444910301,170
5511664,863108.341616735,171
5511664,874807.233915311,172
5481449,1268529.72376964,173
5481449,1271370.72291014,174
5481449,1274882.86632039,175
5481449,1279060.62537308,176
5481449,1283897.5024123,177
5481449,1289386.0798068,178
5481449,1295518.07462375,179
5481449,1302284.39802232,180
5481449,1309675.21842865,181
5481449,1317680.02754014,182
5481449,1326287.70821738,183
5481449,1335486.60335365,184
5481449,1345264.58486199,185
5481449,1355609.12198502,186
5481449,1366507.34821015,187
5481449,1377946.12615804,188
5508165,1388776.57212632,189
5508165,1365895.99004341,190
5508165,1343268.51251887,191
5508165,1320907.14685435,192
5508165,1298825.63774951,193
5508165,1277038.50244156,194
5508165,1255561.06539635,195
5508165,1234409.49199952,196
5508165,1213600.82058149,197
5508165,1193152.99198044,198
5508165,1173084.87570421,199
5508165,1153416.29159566,200
5508165,1134168.02573908,201
5508165,1115361.83917047,202
5508165,1097020.46777845,203
5508165,1061827.91164758,204
5508165,1045026.91196723,205
5449709,1667184.92635514,206
5449709,1668234.14230637,207
5449709,1669799.89256972,208
5449709,1671880.72591117,209
5449709,1674474.72208419,210
5449709,1677579.50062072,211
5449709,1681192.23162762,212
5453334,1674724.32219172,213
5453334,1667634.46591542,214
5453334,1661034.26251711,215
5453334,1654929.57051978,216
5453334,1649325.89207956,217
5453334,1644228.34970255,218
5453334,1639641.6640307,219
5453334,1635570.13290883,220
5453334,1632017.6119392,221
5453334,1628987.49672129,222
5453809,1625830.60536131,223
5453809,1622658.59191333,224
5453809,1620013.45897774,225
1143146,442207.435650041,226
1143146,468872.350946829,227
1143146,496116.610337219,228
1143146,523849.830442312,229
1143146,551998.317830996,230
1143146,580501.666796851,231
1143146,609310.078409554,232
1143146,638382.254124325,233
1143146,667683.740510517,234
1143146,697185.625594246,235
1143146,726863.508480253,236
1143146,756696.681383679,237
1143146,786667.47708659,238
1127503,797537.402305169,239
1127503,783719.832690865,240
1127503,770950.185460894,241
1127503,759281.334554744,242
1127503,748764.746616818,243
1127503,739449.586368751,244
1127503,731381.76079087,245
1127503,724602.935052057,246
1127503,719149.561069474,247
1127503,715051.965327443,248
1127503,712333.544965226,249
1127503,711010.119251954,250
