flag_fin,region,length_category,year,days_at_sea,f_transit_med,s_transit_floor,das_trip_med,radius_km_med
STP,IslandsNations,12-24m,1950,198.109578742422,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1951,198.1096425441,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1952,198.109557565822,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1953,198.109640883189,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1954,198.109596919274,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1955,198.10957992455,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1956,198.109596060363,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1957,198.109568327764,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1958,198.109591707047,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1959,198.109597849721,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1960,198.109592960926,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1961,198.109600984962,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1962,198.109607440794,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1963,198.109566212632,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1964,198.109598747118,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1965,198.109608047173,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1966,198.109604867267,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1967,198.109605083092,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1968,198.109602784429,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1969,198.109604335791,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1970,198.109618082473,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1971,198.109625098186,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1972,198.109611076347,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1973,198.10959943864,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1974,198.109608671539,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1975,198.109613415579,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1976,198.109597471516,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1977,198.10958029692,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1978,198.109593716202,0.453465595266581,8,4,322.490220454544
STP,IslandsNations,12-24m,1979,198.109628852431,0.453465595266581,8,4,322.490220454544
