"eez_sovereign","length_class","s_transit","n","floor_kn","s_transit_floor"
"LVA","12-24m",2.93546948135549,1074,8,8
"AGO","12-24m",4.08884484509973,995,8,8
"FJI","12-24m",3.175917939338,1582,8,8
"BRB","12-24m",3.55820345651684,1010,8,8
"BHS","12-24m",3.22744350371623,4967,8,8
"AZE","12-24m",22.0292725674533,401,8,22.0292725674533
"ISR","12-24m",3.33345150198691,532,8,8
"CHL","12-24m",4.42033201685194,3153,8,8
"DMA","12-24m",3.32913617991186,775,8,8
"ARE","12-24m",3.21588860479926,2201,8,8
"SYR","12-24m",3.65,45,8,8
"HTI","12-24m",4.19122595233355,292,8,8
"BHR","12-24m",3.22467024267496,503,8,8
"CIV","12-24m",3.91965047157296,234,8,8
"HRV","12-24m",3.01261344644928,14745,8,8
"ALB","12-24m",3.58815746825647,1997,8,8
"SLB","12-24m",4.8484736270129,1032,8,8
"TUN","12-24m",26.6843859445842,1568,8,26.6843859445842
"LBN","12-24m",22.2425076480659,246,8,22.2425076480659
"MNE","12-24m",3.09680372730744,2356,8,8
"RAA","12-24m",3.43754690103362,1806,8,8
"SLV","12-24m",3.94059751474866,176,8,8
"SOM","12-24m",3.6221205100084,746,8,8
"GEO","12-24m",2.80635252853876,307,8,8
"PLW","12-24m",4.48390819920673,176,8,8
"LCA","12-24m",3.01452093390648,701,8,8
"CYP","12-24m",2.90938957977584,1295,8,8
"GUY","12-24m",3.35695377902119,827,8,8
"SVN","12-24m",3.41407226128707,3449,8,8
"GMB","12-24m",3.19020728581923,574,8,8
"MLT","12-24m",3.40126984609837,906,8,8
"NCL","12-24m",4.61834307121743,1216,8,8
"REU","12-24m",4.28497213600781,606,8,8
"ROU","12-24m",3.52590407212474,442,8,8
"EGY","12-24m",3.13513089383597,913,8,8
"VUT","12-24m",3.57609681124074,823,8,8
"URY","12-24m",2.42385273274959,1676,8,8
"HKG","12-24m",24.3661363420901,2231,8,24.3661363420901
"SGP","12-24m",25.7651640260216,1143,8,25.7651640260216
"JAM","12-24m",3.42999726904126,622,8,8
"NAM","12-24m",3.55106468239945,1279,8,8
"TKM","12-24m",4.25083094547666,601,8,8
"ATG","12-24m",2.90886311913156,921,8,8
"BLZ","12-24m",4.38891748591291,347,8,8
"GAB","12-24m",19.2525131926267,244,8,19.2525131926267
"DOM","12-24m",4.6582738707727,1222,8,8
"BEN","12-24m",4.39639921864221,220,8,8
"SLE","12-24m",3.03248141553299,178,8,8
"LBY","12-24m",4.13662886039121,1100,8,8
"PER","12-24m",3.66333692066423,955,8,8
"BRN","12-24m",3.63801297267258,358,8,8
"CRI","12-24m",4.65197845062743,693,8,8
"SDN","12-24m",3.30523044164284,102,8,8
"KNA","12-24m",3.28824316355247,393,8,8
"HND","12-24m",4.02763966128625,360,8,8
"TTO","12-24m",3.77107236790337,1523,8,8
"WSM","12-24m",4.72391011497681,138,8,8
"COM","12-24m",3.369087887984,364,8,8
"FSM","12-24m",4.9076647736481,169,8,8
"VCT","12-24m",3.96424806917955,386,8,8
"CMR","12-24m",3.73783846017777,605,8,8
"MYT","12-24m",4.50265671280027,221,8,8
"WLF","12-24m",5.0235,38,8,8
"NIC","12-24m",4.16187443750498,393,8,8
"BEL","12-24m",3.7250831700238,855,8,8
"PAK","12-24m",2.64860959676407,1136,8,8
"KWT","12-24m",3.68748845612475,476,8,8
"BGD","12-24m",2.93740805119599,290,8,8
"KHM","12-24m",3.76410386219468,384,8,8
"LBR","12-24m",3.05492129182667,125,8,8
"TLS","12-24m",2.86595090045885,197,8,8
"GNQ","12-24m",3.52728964464842,106,8,8
"TUV","12-24m",4.20797625907626,56,8,8
"ERI","12-24m",3.56157196379319,74,8,8
"COK","12-24m",4.50680974326804,102,8,8
"KEN","12-24m",3.81273741598913,273,8,8
"TGO","12-24m",4.12,31,8,8
"GTM","12-24m",3.98119175672976,78,8,8
